PS I:\freelance\SCA Smartcard ML Pipeline-3des> python main.py --mode train --scan_type all --processed_dir "I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Processed" --model_dir "I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models" --opt_dir "I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Optimization" --input_dir "I:\freelance\SCA-Smartcard-Pipeline-3\Input1"           
Running: 'C:\Program Files\Python312\python.exe' 'I:\freelance\SCA Smartcard ML Pipeline-3des\pipeline-code\main.py' --mode train --scan_type all --processed_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Processed' --model_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models' --opt_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Optimization' --input_dir 'I:\freelance\SCA-Smartcard-Pipeline-3\Input1' --output_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Output\run_manual' --model_root 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models\run_manual' --card_type universal --file_pattern 'traces_data_*.npz' --enable_external_labels --label_map_xlsx 'I:\freelance\SCA Smartcard ML 2026-03-15 16:04:47,968 - ingest - INFO - Total traces found: 6001
2026-03-15 16:24:39,501 - train_ensemble - INFO - Training 3DES KENC Stage 2 S-Box 3 (1 models) using 15000 traces...
2026-03-15 16:25:13,611 - train_ensemble - INFO - S-Box 3 Model 0 | Epoch 10 | Val Acc: 45.37%
2026-03-15 16:25:23,639 - train_ensemble - INFO - S-Box 3 Model 0 | Early stopping at epoch 13 (no improvement for 8 epochs).
2026-03-15 16:25:23,639 - train_ensemble - INFO - S-Box 3 Model 0 Finished. Best Acc: 50.67%
2026-03-15 16:25:23,826 - train_ensemble - INFO - Training 3DES KENC Stage 2 S-Box 4 (1 models) using 15000 traces...
2026-03-15 16:26:00,830 - train_ensemble - INFO - S-Box 4 Model 0 | Epoch 10 | Val Acc: 50.10%
2026-03-15 16:26:11,591 - train_ensemble - INFO - S-Box 4 Model 0 | Early stopping at epoch 13 (no improvement for 8 epochs).
2026-03-15 16:26:11,591 - train_ensemble - INFO - S-Box 4 Model 0 Finished. Best Acc: 50.10%
2026-03-15 16:26:11,709 - train_ensemble - INFO - Training 3DES KENC Stage 2 S-Box 5 (1 models) using 15000 traces...
2026-03-15 16:26:46,556 - train_ensemble - INFO - S-Box 5 Model 0 | Epoch 10 | Val Acc: 17.00%
2026-03-15 16:27:22,526 - train_ensemble - INFO - S-Box 5 Model 0 | Epoch 20 | Val Acc: 31.83%
2026-03-15 16:27:43,472 - train_ensemble - INFO - S-Box 5 Model 0 | Early stopping at epoch 27 (no improvement for 8 epochs).
2026-03-15 16:27:43,472 - train_ensemble - INFO - S-Box 5 Model 0 Finished. Best Acc: 32.00%
2026-03-15 16:27:43,654 - train_ensemble - INFO - Training 3DES KENC Stage 2 S-Box 6 (1 models) using 15000 traces...
2026-03-15 16:28:15,496 - train_ensemble - INFO - S-Box 6 Model 0 | Epoch 10 | Val Acc: 60.20%
2026-03-15 16:28:36,454 - train_ensemble - INFO - S-Box 6 Model 0 | Early stopping at epoch 17 (no improvement for 8 epochs).
2026-03-15 16:28:36,457 - train_ensemble - INFO - S-Box 6 Model 0 Finished. Best Acc: 60.53%
2026-03-15 16:28:36,548 - train_ensemble - INFO - Training 3DES KENC Stage 2 S-Box 7 (1 models) using 15000 traces...
2026-03-15 16:29:09,390 - train_ensemble - INFO - S-Box 7 Model 0 | Epoch 10 | Val Acc: 30.27%
2026-03-15 16:29:39,877 - train_ensemble - INFO - S-Box 7 Model 0 | Epoch 20 | Val Acc: 30.10%
2026-03-15 16:29:49,007 - train_ensemble - INFO - S-Box 7 Model 0 | Early stopping at epoch 23 (no improvement for 8 epochs).
2026-03-15 16:29:49,007 - train_ensemble - INFO - S-Box 7 Model 0 Finished. Best Acc: 30.40%
2026-03-15 16:29:49,178 - train_ensemble - INFO - Training 3DES KENC Stage 2 S-Box 8 (1 models) using 15000 traces...
2026-03-15 16:30:21,931 - train_ensemble - INFO - S-Box 8 Model 0 | Epoch 10 | Val Acc: 50.53%
2026-03-15 16:30:52,644 - train_ensemble - INFO - S-Box 8 Model 0 | Epoch 20 | Val Acc: 50.33%
2026-03-15 16:31:23,655 - train_ensemble - INFO - S-Box 8 Model 0 | Epoch 30 | Val Acc: 49.53%
2026-03-15 16:31:29,710 - train_ensemble - INFO - S-Box 8 Model 0 | Early stopping at epoch 32 (no improvement for 8 epochs).
2026-03-15 16:31:29,710 - train_ensemble - INFO - S-Box 8 Model 0 Finished. Best Acc: 52.33%
2026-03-15 16:31:29,715 - train_ensemble - INFO - Phase 1: KENC Full Training Complete
2026-03-15 16:31:29,715 - train_ensemble - INFO -
2026-03-15 16:31:29,715 - train_ensemble - INFO - ================================================================================
2026-03-15 16:31:29,721 - train_ensemble - INFO - Phase 2: KMAC Transfer Learning
2026-03-15 16:31:29,721 - train_ensemble - INFO - ================================================================================
2026-03-15 16:31:29,722 - train_ensemble - INFO - Loading Stage 1 features for KMAC from I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Processed\3des\X_features_s1.npy
2026-03-15 16:31:30,375 - train_ensemble - INFO - Training 3DES KMAC Stage 1 S-Box 1 (1 models) using 15000 traces...
2026-03-15 16:32:01,912 - train_ensemble - INFO - S-Box 1 Model 0 | Early stopping at epoch 10 (no improvement for 8 epochs).
2026-03-15 16:32:01,912 - train_ensemble - INFO - S-Box 1 Model 0 Finished. Best Acc: 50.63%
2026-03-15 16:32:02,030 - train_ensemble - INFO - Training 3DES KMAC Stage 1 S-Box 2 (1 models) using 15000 traces...
2026-03-15 16:32:35,236 - train_ensemble - INFO - S-Box 2 Model 0 | Epoch 10 | Val Acc: 51.67%
2026-03-15 16:32:59,268 - train_ensemble - INFO - S-Box 2 Model 0 | Early stopping at epoch 18 (no improvement for 8 epochs).
2026-03-15 16:32:59,268 - train_ensemble - INFO - S-Box 2 Model 0 Finished. Best Acc: 51.67%
2026-03-15 16:32:59,373 - train_ensemble - INFO - Training 3DES KMAC Stage 1 S-Box 3 (1 models) using 15000 traces...
